"Ephemeris Data for Mercury Observations From Kitt Peak, AZ; McMath Observatory; All data for 20:00 UTC",,,,,,,,,,,,,,,,,
DateObs,Time,Sun_Data,Illum%,Def_illu,Ang-diam,Ob-lon,Ob-lat,Sl-lon,Sl-lat,r,rdot,delta,deldot,S-O-T,/r,S-T-O,True_Anom
1988-Oct-29,20:00,*,67.809,2.0404,6.338375,111.44,1.32,180.57,0.03,0.329278344,7.9537369,1.061422391,44.8211279,18.0497,/L,69.1292,52.2516
1988-Oct-30,20:00,*,71.153,1.7857,6.190302,116.29,1.18,181.25,0.03,0.334034349,8.5032375,1.086811709,43.4670924,17.75,/L,64.9662,57.7077
1988-Oct-31,20:00,*m,74.22,1.5606,6.053445,121.07,1.04,182.09,0.03,0.339081732,8.9631398,1.111382495,41.98835,17.3898,/L,61.0217,63.006
1988-Nov-01,20:00,*m,77.017,1.3622,5.927102,125.8,0.91,183.09,0.03,0.344369454,9.3360881,1.135072946,40.4187958,16.9784,/L,57.2876,68.1452
1988-Nov-02,20:00,*m,79.558,1.1878,5.810558,130.49,0.79,184.25,0.03,0.349848371,9.6259473,1.1578394,38.7874847,16.5243,/L,53.7548,73.1261
1988-Nov-03,20:00,*m,81.859,1.0346,5.703109,135.14,0.67,185.56,0.03,0.355471834,9.8374372,1.179653587,37.1187966,16.0348,/L,50.4133,77.9514
1988-Nov-04,20:00,*m,83.935,0.9003,5.604075,139.77,0.56,187.02,0.03,0.361196087,9.9758136,1.200500022,35.4327717,15.5163,/L,47.2529,82.625
1988-Nov-05,20:00,*m,85.804,0.7826,5.512814,144.37,0.45,188.64,0.02,0.366980498,10.0466055,1.220373624,33.7455464,14.9743,/L,44.263,87.1519
1988-Nov-06,20:00,*m,87.483,0.6795,5.428721,148.95,0.35,190.39,0.02,0.372787655,10.0554064,1.239277603,32.0698326,14.4135,/L,41.4332,91.5381
1988-Nov-07,20:00,*m,88.99,0.5892,5.351238,153.52,0.24,192.27,0.02,0.378583355,10.007717,1.257221626,30.4154019,13.838,/L,38.7531,95.7898
1988-Nov-08,20:00,*m,90.339,0.5101,5.279851,158.07,0.14,194.29,0.02,0.384336516,9.9088323,1.274220255,28.789547,13.2511,/L,36.2127,99.9137
1988-Nov-09,20:00,*m,91.545,0.4408,5.214087,162.62,0.05,196.42,0.02,0.390019033,9.7637656,1.290291641,27.1975022,12.6558,/L,33.8023,103.9166
1988-Nov-10,20:00,*m,92.624,0.3801,5.153518,167.15,-0.05,198.67,0.01,0.395605606,9.5772021,1.305456446,25.6428166,12.0545,/L,31.5127,107.8055
1988-Nov-11,20:00,*m,93.586,0.327,5.097753,171.69,-0.14,201.03,0.01,0.401073535,9.3534751,1.319736969,24.1276764,11.4492,/L,29.3349,111.5873
1988-Nov-12,20:00,*m,94.444,0.2804,5.046439,176.22,-0.23,203.49,0.01,0.406402522,9.0965591,1.33315644,22.6531772,10.8416,/L,27.2609,115.2685
1988-Nov-13,20:00,*m,95.209,0.2395,4.999257,180.75,-0.32,206.04,0.01,0.411574461,8.8100757,1.345738458,21.2195519,10.2331,/L,25.2826,118.8558
1988-Nov-14,20:00,*m,95.888,0.2038,4.955919,185.28,-0.41,208.68,0,0.416573237,8.4973073,1.357506549,19.8263576,9.6249,/L,23.3927,122.3555
1988-Nov-15,20:00,*m,96.492,0.1725,4.916165,189.81,-0.49,211.39,0,0.421384539,8.1612162,1.368483825,18.4726284,9.0178,/L,21.5843,125.7737
1988-Nov-16,20:00,*,97.027,0.1451,4.879762,194.34,-0.58,214.19,0,0.425995678,7.804467,1.378692716,17.1569974,8.4126,/L,19.8509,129.1163
1988-Nov-17,20:00,*,97.501,0.1211,4.8465,198.87,-0.66,217.06,0,0.430395425,7.4294509,1.38815477,15.8777937,7.8099,/L,18.1866,132.389
1988-Nov-18,20:00,*,97.918,0.1003,4.816192,203.41,-0.74,219.99,0,0.434573858,7.0383094,1.396890498,14.6331172,7.2103,/L,16.5858,135.597
1988-Nov-19,20:00,*,98.285,0.0821,4.788669,207.95,-0.83,222.97,-0.01,0.438522224,6.6329586,1.404919262,13.4208968,6.6142,/L,15.0433,138.7456
1988-Nov-20,20:00,*,98.606,0.0664,4.76378,212.49,-0.91,226.02,-0.01,0.442232821,6.2151117,1.41225919,12.2389372,6.0219,/L,13.5544,141.8397
1988-Nov-21,20:00,*,98.885,0.0528,4.741394,217.03,-0.99,229.11,-0.01,0.445698879,5.7863009,1.418927113,11.0849598,5.4339,/L,12.1147,144.8839
1988-Nov-22,20:00,*,99.126,0.0412,4.721391,221.58,-1.07,232.25,-0.01,0.448914467,5.3478971,1.424938534,9.9566404,4.8506,/L,10.7206,147.8829
